sitename,itemname,itemengname,itemunit,monitormonth,concentration
苗栗,細懸浮微粒,PM2.5,μg/m3,2023-01,17
苗栗,相對濕度,RH,%,2023-01,77
三義,二氧化硫,SO2,ppb,2023-01,1
三義,一氧化碳,CO,ppm,2023-01,0.27
三義,臭氧,O3,ppb,2023-01,31.3
三義,懸浮微粒,PM10,μg/m3,2023-01,22
三義,氮氧化物,NOx,ppb,2023-01,6.9
三義,一氧化氮,NO,ppb,2023-01,1
三義,二氧化氮,NO2,ppb,2023-01,5.8
三義,風速,WIND_SPEED,m/sec,2023-01,4.1
三義,溫度,AMB_TEMP,℃,2023-01,14.3
三義,細懸浮微粒,PM2.5,μg/m3,2023-01,13
三義,相對濕度,RH,%,2023-01,89
豐原,二氧化硫,SO2,ppb,2023-01,0.9
豐原,一氧化碳,CO,ppm,2023-01,0.3
豐原,臭氧,O3,ppb,2023-01,19.7
豐原,懸浮微粒,PM10,μg/m3,2023-01,25
豐原,氮氧化物,NOx,ppb,2023-01,8.7
豐原,一氧化氮,NO,ppb,2023-01,1.5
豐原,二氧化氮,NO2,ppb,2023-01,7.1
豐原,風速,WIND_SPEED,m/sec,2023-01,1.8
豐原,溫度,AMB_TEMP,℃,2023-01,16.7
豐原,細懸浮微粒,PM2.5,μg/m3,2023-01,16
豐原,相對濕度,RH,%,2023-01,75
沙鹿,二氧化硫,SO2,ppb,2023-01,1.3
沙鹿,一氧化碳,CO,ppm,2023-01,0.3
沙鹿,臭氧,O3,ppb,2023-01,33.1
沙鹿,懸浮微粒,PM10,μg/m3,2023-01,37
沙鹿,氮氧化物,NOx,ppb,2023-01,10.6
沙鹿,一氧化氮,NO,ppb,2023-01,1.5
沙鹿,二氧化氮,NO2,ppb,2023-01,8.9
沙鹿,風速,WIND_SPEED,m/sec,2023-01,3.7
沙鹿,溫度,AMB_TEMP,℃,2023-01,16.8
沙鹿,細懸浮微粒,PM2.5,μg/m3,2023-01,17
沙鹿,相對濕度,RH,%,2023-01,78
大里,二氧化硫,SO2,ppb,2023-01,1.3
大里,一氧化碳,CO,ppm,2023-01,0.42
大里,臭氧,O3,ppb,2023-01,23.1
大里,懸浮微粒,PM10,μg/m3,2023-01,36
